Freq.	V(output)
3.15172969816298e+002	(1.98251697064363e+001dB,1.68550526768848e+002°)
3.37794025157861e+002	(1.97999022460692e+001dB,1.67752619898236e+002°)
3.62038671967512e+002	(1.97710578327743e+001dB,1.66902740544151e+002°)
3.88023441026661e+002	(1.97381590227922e+001dB,1.65998296157047e+002°)
4.15873226934392e+002	(1.97006732461824e+001dB,1.65036737870423e+002°)
4.45721888407615e+002	(1.96580089629106e+001dB,1.64015604481931e+002°)
4.77712891666845e+002	(1.96095123154722e+001dB,1.62932574786082e+002°)
5.11999999999999e+002	(1.95544645570970e+001dB,1.61785528742370e+002°)
5.48748012818581e+002	(1.94920805901494e+001dB,1.60572617644265e+002°)
5.88133557758481e+002	(1.94215090017848e+001dB,1.59292342993461e+002°)
6.30345939632596e+002	(1.93418340263845e+001dB,1.57943643161252e+002°)
6.75588050315721e+002	(1.92520798876952e+001dB,1.56525986128503e+002°)
7.24077343935024e+002	(1.91512179666708e+001dB,1.55039465647269e+002°)
7.76046882053323e+002	(1.90381771917129e+001dB,1.53484897106708e+002°)
8.31746453868784e+002	(1.89118579441496e+001dB,1.51863908286568e+002°)
8.91443776815230e+002	(1.87711496047337e+001dB,1.50179019169300e+002°)
9.55425783333690e+002	(1.86149516330101e+001dB,1.48433704206527e+002°)
1.02400000000000e+003	(1.84421977781049e+001dB,1.46632430098308e+002°)
1.09749602563716e+003	(1.82518826843268e+001dB,1.44780662413094e+002°)
1.17626711551696e+003	(1.80430898117547e+001dB,1.42884835421225e+002°)
1.26069187926519e+003	(1.78150192841609e+001dB,1.40952281390312e+002°)
1.35117610063144e+003	(1.75670140561529e+001dB,1.38991118250434e+002°)
1.44815468787005e+003	(1.72985827068023e+001dB,1.37010097769024e+002°)
1.55209376410665e+003	(1.70094172544115e+001dB,1.35018419832986e+002°)
1.66349290773757e+003	(1.66994046588722e+001dB,1.33025521668813e+002°)
1.78288755363046e+003	(1.63686311154184e+001dB,1.31040853360434e+002°)
1.91085156666738e+003	(1.60173787987026e+001dB,1.29073652456570e+002°)
2.04800000000000e+003	(1.56461153168949e+001dB,1.27132730553888e+002°)
2.19499205127433e+003	(1.52554767013994e+001dB,1.25226283485437e+002°)
2.35253423103392e+003	(1.48462452149957e+001dB,1.23361734342856e+002°)
2.52138375853039e+003	(1.44193235574019e+001dB,1.21545615397960e+002°)
2.70235220126288e+003	(1.39757071598618e+001dB,1.19783491533904e+002°)
2.89630937574010e+003	(1.35164561978815e+001dB,1.18079924509155e+002°)
3.10418752821329e+003	(1.30426687464158e+001dB,1.16438474623745e+002°)
3.32698581547514e+003	(1.25554562032967e+001dB,1.14861734367275e+002°)
3.56577510726092e+003	(1.20559217650040e+001dB,1.13351387471773e+002°)
3.82170313333476e+003	(1.15451424009681e+001dB,1.11908286421740e+002°)
4.09599999999999e+003	(1.10241544716982e+001dB,1.10532541740979e+002°)
4.38998410254865e+003	(1.04939428938013e+001dB,1.09223617100708e+002°)
4.70506846206785e+003	(9.95543357819059e+000dB,1.07980425282588e+002°)
5.04276751706077e+003	(9.40948875643207e+000dB,1.06801421127440e+002°)
5.40470440252577e+003	(8.85690475358565e+000dB,1.05684688670473e+002°)
5.79261875148019e+003	(8.29841175430044e+000dB,1.04628020630757e+002°)
6.20837505642658e+003	(7.73467512871691e+000dB,1.03628989235683e+002°)
